programarea_key,programarea_name,lng,lat
ALA,Aleutian Arc,187.50002186469877,50.976395266591936
GEO,St. George Basin,192.0000186006956,55.76567242311856
KOD,Kodiak,208.3990417275702,55.571136385012295
CHU,Chukchi Sea,197.5115779962844,71.64178800602113
NOC,Northern California,232.50461532491954,40.35028124007465
HOP,Hope Basin,194.0100733306665,66.97317465437119
MAT,St. Matthew-Hall,190.36704389520895,60.96533785606697
NOR,Norton Basin,192.7189994903353,64.29843927753916
GAB,GOA Program Area B,274.3337323769496,26.707766610579007
ALB,Aleutian Basin,183.0001692174257,56.98149917479985
NAV,Navarin Basin,183.34481733824373,60.45911326851508
HAR,High Arctic,203.09263039941365,77.71374019894957
GOA,Gulf of Alaska,218.6843168452886,56.903037764991595
SHU,Shumagin,199.5000184955681,53.63316335758121
BFT,Beaufort Sea,212.86290554125864,72.32967959100394
SOC,Southern California,239.1060652545209,33.1630870827468
CEC,Central California,235.063461674233,37.25716071483514
GAA,GOA Program Area A,268.202068668592,27.7486190998645
BOW,Bowers Basin,184.50002261693228,54.471653169546116
COK,Cook Inlet,206.95360885500017,58.64547762506203
